feature,importance
geohash_std,3238
geohash_median,2444
gh_x_RoadType_mean,2122
tod_slot,1673
tod_curve_mean,1651
gh_x_tod_slot_mean,1545
geohash_mean,1362
geohash_rank,1293
gh_x_LargeVehicles_mean,1182
tod_sin,1156
tod_cos,895
gh_x_Landmarks_mean,859
day,734
Temperature,647
hour,599
gh_x_Weather_mean,599
RoadType,460
minute_of_day_cos,188
minute_of_day_sin,152
NumberofLanes,91
is_peak_hour,74
LargeVehicles,49
Weather,24
minute,11
Landmarks,10
is_night,0
