feature,importance
geohash_median,557
geohash_std,531
geohash_rank,358
tod_curve_mean,334
geohash_mean,265
tod_sin,264
RoadType,258
tod_slot,224
day,179
tod_cos,169
minute_of_day_sin,82
hour,74
NumberofLanes,66
minute_of_day_cos,35
LargeVehicles,29
Temperature,21
is_peak_hour,17
Landmarks,10
Weather,3
minute,0
is_night,0
