feature,importance
pg_tod_curve_mean,4891
gh_x_tod_slot_mean,3491
geohash_std,3313
gh_x_RoadType_mean,2861
geohash_median,2601
tod_slot,2167
tod_curve_mean,1931
geohash_mean,1546
tod_sin,1446
geohash_rank,1320
tod_cos,1286
gh_x_LargeVehicles_mean,1202
gh_x_Landmarks_mean,973
hour,896
day,833
gh_x_Weather_mean,801
gh_x_NumberofLanes_mean,691
RoadType,506
NumberofLanes,246
minute_of_day_sin,228
Weather,175
minute_of_day_cos,98
is_peak_hour,83
minute,70
LargeVehicles,68
Landmarks,44
is_night,1
